"","year","ward","cost","category","program","description"
"15444",2018,41,7455.51,"Streets & Transportation","Street Resurfacing (2019)","ON N NOTTINGHAM AVE FROM W STRONG ST (4900 N) TO W GUNNISON ST (4800 N)"
"15445",2018,41,19732.07,"Streets & Transportation","Street Resurfacing (2019)","ON N MASON AVE FROM N MENDOTA AVE (7100 N) TO W FITCH AVE (7130 N)"
"15446",2018,41,0,"Streets & Transportation","Street Speed Hump Replacement (2018)","ON N OAK PARK AVE FROM W FOSTER AVE (5200 N) TO W BERWYN AVE (5300 N)"
"15447",2018,41,0,"Streets & Transportation","Street Speed Hump Replacement (2018)","ON N OSCEOLA AVE FROM W TOUHY AVE (7200 N) TO W CHASE AVE (7300 N)"
"15448",2018,41,0,"Streets & Transportation","Street Speed Hump Replacement (2018)","ON N OKETO AVE FROM W TOUHY AVE (7200 N) TO W CHASE AVE (7300 N)"
"15449",2018,41,200000,"Parks & Recreation","Wildwood Park - Playlot","6950 N HIAWATHA AVE"
"15450",2018,42,13192.73,"Streets & Transportation","Alley Apron (2018)","ON W WASHINGTON ST FROM N JEFFERSON ST (600 W) TO N CLINTON ST (540 W)"
"15451",2018,42,12226.8,"Streets & Transportation","Alley Resurfacing Menu (2018)","W ERIE ST & N FRANKLIN ST&W ONTARIO ST & N ORLEANS ST"
"15452",2018,42,1400,"Streets & Transportation","Alley Speed Hump Menu (2018)","N WELLS ST & W ONTARIO ST&N FRANKLIN ST & W ERIE ST"
"15453",2018,42,19150,"Streets & Transportation","Left-Turn Arrow Menu (2018)","E GRAND AVE & N MCCLURG CT"
"15454",2018,42,20000,"Parks & Recreation","Maggie Daley Park - Tennis Court Improvements","337 E RANDOLPH ST"
"15455",2018,42,70880.2,"Streets & Transportation","Miscellaneous CDOT Projects (2018)","55 E WACKER LOWER DR"
"15456",2018,42,42719,"Streets & Transportation","Miscellaneous CDOT Projects (2018)","E WACKER LOWER DR & N WABASH LOWER AVE"
"15457",2018,42,12900,"Streets & Transportation","Pavement Markings Menu (2018)","300 N STATE ST"
"15458",2018,42,28690,"Streets & Transportation","Pedestrian Countdown Signal (2018)","N MICHIGAN AVE & E CHESTNUT ST"
"15459",2018,42,81033,"Security Cameras","POD CAMERAS: Grand & Columbus, Grand & Peshtigo Ct, Grand & McClurg","E GRAND AVE & N MCCLURG CT:E GRAND AVE & N COLUMBUS DR:E GRAND AVE & N PESHTIGO CT"
"15460",2018,42,27011,"Security Cameras","POD CAMERA - Erie & Franklin","W ERIE ST & N FRANKLIN ST"
"15461",2018,42,27011,"Security Cameras","POD CAMERA - FRANKLIN & ONTARIO","N FRANKLIN ST & W ONTARIO ST"
"15462",2018,42,27011,"Security Cameras","POD CAMERA - 400 E. RIVER DR","400 E RIVER DR"
"15463",2018,42,108044,"Parks & Recreation","W. OHIO, FRANKLIN & CHICAGO, MONTGOMERY WARD PARK","W CHICAGO AVE & N FRANKLIN ST:N LA SALLE DR & W HUBBARD ST:415 W OHIO ST:630 N KINGSBURY ST"
"15464",2018,42,160549.64,"Streets & Transportation","Street Bump Outs (2018)","ON W ERIE ST FROM N SEDGWICK ST (400 W) TO N HUDSON AVE (440 W)"
"15465",2018,42,32294.55,"Streets & Transportation","Street Bump Outs (2019)","ON W ERIE ST FROM N SEDGWICK ST (400 W) TO N KINGSBURY ST (500 W)"
"15466",2018,42,85000,"Lighting","Street Light Arterial (2018)","N MCCLURG CT FROM E NORTH WATER ST (430 N) TO E RIVER DR (404 N)"
"15467",2018,42,69.13,"Lighting","Street Light Arterial (2019)","ON N MCCLURG CT FROM E OHIO ST (600 N) TO E ONTARIO ST (630 N)"
"15468",2018,42,54634.87,"Streets & Transportation","Street Resurfacing (1-5) (2018)","ON N KINGSBURY ST FROM W HURON ST (700 N) TO W CHICAGO AVE (800 N)"
"15469",2018,42,18897.92,"Streets & Transportation","Street Resurfacing (2018)","ON N MCCLURG CT FROM E HURON ST (700 N) TO E ERIE ST (660 N)"
"15470",2018,42,38336.01,"Streets & Transportation","Street Resurfacing (2018)","ON W HURON ST FROM N HUDSON AVE (440 W) TO N KINGSBURY ST (500 W)"
"15471",2018,42,77349.63,"Streets & Transportation","Street Resurfacing (2018)","ON E SOUTH WATER ST FROM N STETSON AVE (154 E) TO N MICHIGAN AVE (100 E)"
"15472",2018,42,47938.03,"Streets & Transportation","Street Resurfacing (2018)","ON E CEDAR ST FROM N STATE ST (1 E) TO N LAKE SHORE DR (100 E)"
"15473",2018,42,22792.06,"Streets & Transportation","Street Resurfacing (2018)","ON E KINZIE ST FROM N STATE ST (0 E) TO E NORTH WATER ST (100 E)"
"15474",2018,42,119222.42,"Streets & Transportation","Street Resurfacing (2018)","ON N COLUMBUS DR FROM E NORTH WATER ST (433 N) TO E ILLINOIS ST (500 N)"
"15475",2018,42,3700,"Streets & Transportation","Street Speed Hump (2018)","ON W WAYMAN ST FROM N JEFFERSON ST (600 W) TO N UNION AVE (699 W)"
"15476",2018,42,7400,"Streets & Transportation","Street Speed Hump (2018)","ON W SUPERIOR ST FROM N LARRABEE ST (600 W) TO N ORLEANS ST (340 W)"
"15477",2018,42,7400,"Streets & Transportation","Street Speed Hump (2018)","ON W HURON ST FROM N LARRABEE ST (599 W) TO N ORLEANS ST (340 W)"
"15478",2018,42,3700,"Streets & Transportation","Street Speed Hump (2018)","ON W ERIE ST FROM N KINGSBURY ST (500 W) TO N SEDGWICK ST (400 W)"
"15479",2018,42,0,"Streets & Transportation","Street Speed Hump Replacement (2018)","ON E CEDAR ST FROM N RUSH ST (1 E) TO N LAKE SHORE DR (100 E)"
"15480",2018,42,86157,"Streets & Transportation","Traffic Signal Modernization (2018)","W GRAND AVE & N KINGSBURY ST"
"15481",2018,42,13290,"Beautification","Viaduct Improvement (2018)","W FULTON ST & N MILWAUKEE AVE:N MILWAUKEE AVE & W FULTON ST"
"15482",2018,42,50000,"Beautification","Viaduct Improvement Menu (2019)","E OHIO ST & N LAKE SHORE DR"
"15483",2018,43,25963.17,"Streets & Transportation","Alley Apron (2018)","2735 N RACINE AVE"
"15484",2018,43,13811.47,"Streets & Transportation","Alley Apron Menu (2018)","2462 N ORCHARD ST"
"15485",2018,43,13631.34,"Streets & Transportation","Alley Apron Menu (2018)","810 W WILLOW ST"
"15486",2018,43,13372.92,"Streets & Transportation","Alley Apron Menu (2018)","2016 N BISSELL ST"
"15487",2018,43,8027.19,"Streets & Transportation","Alley Apron Menu (2018)","1015 W ALTGELD ST"
"15488",2018,43,792.56,"Streets & Transportation","Alley Apron Menu (2019)","1042 W MONTANA ST"
"15489",2018,43,53288.47,"Streets & Transportation","Alley Resurfacing (1-1) (2018)","N SHEFFIELD AVE & W ARMITAGE AVE&N KENMORE AVE & N POE ST:1920 N SHEFFIELD AVE"
"15490",2018,43,29599.05,"Streets & Transportation","Alley Resurfacing (1-1) (2018)","N CLARK ST & W WRIGHTWOOD AVE&N HAMPDEN CT & W DEMING PL:2551 N CLARK ST"
"15491",2018,43,5476.59,"Streets & Transportation","Alley Resurfacing Menu (2018)","435 W WEBSTER AVE"
"15492",2018,43,16353.35,"Streets & Transportation","Alley Resurfacing Menu (2018)","2401 N LINCOLN AVE"
"15493",2018,43,6444.54,"Streets & Transportation","Alley Resurfacing (2018)","65 E GOETHE ST:E GOETHE ST & N ASTOR ST&E SCOTT ST & N STONE ST"
"15494",2018,43,57028.09,"Streets & Transportation","Alley Resurfacing (2018)","W DIVERSEY PKWY & N HALSTED ST&W SCHUBERT AVE & N ORCHARD ST:723 W DIVERSEY PKWY"
"15495",2018,43,57644.27,"Streets & Transportation","Alley Resurfacing Menu (2018)","842 W FULLERTON AVE:911 W MONTANA ST"
"15496",2018,43,0,"Streets & Transportation","Alley Speed Hump Replacement (2018)","W DIVERSEY PKWY & N HALSTED ST&W SCHUBERT AVE & N ORCHARD ST:723 W DIVERSEY PKWY"
"15497",2018,43,28438.54,"Streets & Transportation","Arterial Street Bump Outs Menu (2018)","W DIVERSEY PKWY & N LAKEWOOD AVE"
"15498",2018,43,106003.53,"Streets & Transportation","Arterial Street Bump Outs Menu (2018)","W WEBSTER AVE & N CLIFTON AVE"
"15499",2018,43,5000,"Parks & Recreation","Bauler Park","501 W WISCONSIN ST"
"15500",2018,43,14000,"Parks & Recreation","Trebes Park - Parjana water drainage system","2250 N CLIFTON AVE"
"15501",2018,43,20000,"Parks & Recreation","Adams Park - Water Play Area","1919 N SEMINARY AVE"
"15502",2018,43,149750,"Streets & Transportation","Concrete Alley (2018)","N HUDSON AVE & W WISCONSIN ST&N CLEVELAND AVE & W MENOMONEE ST:1820 N HUDSON AVE"
"15503",2018,43,23596.31,"Streets & Transportation","Concrete Alley (2018)","2055 N KENMORE AVE:N KENMORE AVE & W ARMITAGE AVE&N SHEFFIELD AVE & W DICKENS AVE"
"15504",2018,43,37000,"Streets & Transportation","Concrete Alley (2019)","E SCOTT ST & N STONE ST&E DIVISION ST & N ASTOR ST:55 E SCOTT ST"
"15505",2018,43,11075.22,"Streets & Transportation","Curb & Gutter Menu (2018)","809 W LILL AVE"
"15506",2018,43,9447.52,"Streets & Transportation","Curb & Gutter (2018)","316 W ARMITAGE AVE"
"15507",2018,43,600,"Streets & Transportation","In-Road ""State Law Stop For Pedestrians"" Signs (2018)","N CLYBOURN AVE & N KENMORE AVE"
"15508",2018,43,350,"Streets & Transportation","In-Road ""State Law Stop For Pedestrians"" Signs (2018)","N CLYBOURN AVE & W WISCONSIN ST"
"15509",2018,43,600,"Streets & Transportation","In-Road ""State Law Stop For Pedestrians"" Signs (2018)","1700 N STOCKTON DR"
"15510",2018,43,350,"Streets & Transportation","In-Road ""State Law Stop For Pedestrians"" Signs (2018)","2550 N STOCKTON DR"
"15511",2018,43,350,"Streets & Transportation","In-Road ""State Law Stop For Pedestrians"" Signs (2018)","2500 N STOCKTON DR"
"15512",2018,43,350,"Streets & Transportation","In-Road ""State Law Stop For Pedestrians"" Signs (2018)","W DIVERSEY PKWY & N WILTON AVE"
"15513",2018,43,350,"Streets & Transportation","In-Road ""State Law Stop For Pedestrians"" Signs (2018)","2411 N CANNON DR"
"15514",2018,43,350,"Streets & Transportation","In-Road ""State Law Stop For Pedestrians"" Signs (2018)","N SHEFFIELD AVE & W MONTANA ST"
"15515",2018,43,350,"Streets & Transportation","In-Road ""State Law Stop For Pedestrians"" Signs (2018)","W DIVERSEY PKWY & N HAMPDEN CT"
"15516",2018,43,350,"Streets & Transportation","In-Road ""State Law Stop For Pedestrians"" Signs (2018)","2700 N STOCKTON DR"
"15517",2018,43,350,"Streets & Transportation","In-Road ""State Law Stop For Pedestrians"" Signs (2018)","N CLARK ST & W ARLINGTON PL"
"15518",2018,43,350,"Streets & Transportation","In-Road ""State Law Stop For Pedestrians"" Signs (2018)","N CLARK ST & W ST JAMES PL"
"15519",2018,43,350,"Streets & Transportation","In-Road ""State Law Stop For Pedestrians"" Signs (2018)","N CLARK ST & W DEMING PL"
"15520",2018,43,350,"Streets & Transportation","In-Road ""State Law Stop For Pedestrians"" Signs (2018)","2232 N CLARK ST"
"15521",2018,43,350,"Streets & Transportation","In-Road ""State Law Stop For Pedestrians"" Signs (2018)","W FULLERTON AVE & N SEMINARY AVE"
"15522",2018,43,600,"Streets & Transportation","In-Road ""State Law Stop For Pedestrians"" Signs (2018)","W DIVERSEY PKWY & N LAKEWOOD AVE"
"15523",2018,43,350,"Streets & Transportation","In-Road ""State Law Stop For Pedestrians"" Signs (2019)","2232 N CLARK ST"
"15524",2018,43,350,"Streets & Transportation","In-Road ""State Law Stop For Pedestrians"" Signs (2019)","W ARMITAGE AVE & N SEMINARY AVE"
"15525",2018,43,350,"Streets & Transportation","In-Road ""State Law Stop For Pedestrians"" Signs (2019)","N CLARK ST & W DEMING PL"
"15526",2018,43,1000,"Streets & Transportation","Miscellaneous CDOT Projects (2019)","1135 W BELDEN AVE"
"15527",2018,43,12940,"Streets & Transportation","Miscellaneous CDOT Projects (2019)","DICKENS AVE:1728 N HUDSON AVE:1031 W ALTGELD ST:1039 W ALTGELD ST:948 W MONTANA ST"
"15528",2018,43,750,"Streets & Transportation","Miscellaneous CDOT Projects (2019)","800 W ALTGELD ST"
"15529",2018,43,246000,"Streets & Transportation","Pedestrian Refuge Island Menu (2018)","W BELDEN AVE & N SHEFFIELD AVE"
"15530",2018,43,14017.81,"Streets & Transportation","Sidewalk Menu (2018)","735 W DIVERSEY PKWY"
"15531",2018,43,5242.22,"Streets & Transportation","Sidewalk Menu (2018)","1000 W ARMITAGE AVE"
"15532",2018,43,13228.83,"Streets & Transportation","Sidewalk Menu (2018)","2002 N KENMORE AVE"
"15533",2018,43,12358.67,"Streets & Transportation","Sidewalk Menu (2018)","2575-2576 N LINCOLN AVE"
"15534",2018,43,6997.92,"Streets & Transportation","Sidewalk Menu (2018)","1845 N LARRABEE ST:1856 N LARRABEE ST"
"15535",2018,43,6400,"Beautification","Street Light Pole Painting (2018)","W):ON N LINCOLN PARK W FROM N LINCOLN AVE (1900 N) TO W MENOMONEE ST (1800 N)"
"15536",2018,43,500,"Lighting","Street Light Upgrade (2018)","2022 N FREMONT ST"
"15537",2018,43,21215.05,"Streets & Transportation","Street Resurfacing (2018)","ON N CAMBRIDGE AVE FROM W BELDEN AVE (2300 N) TO W FULLERTON PKWY (2400 N)"
"15538",2018,43,19438.81,"Streets & Transportation","Street Resurfacing (2018)","ON W SCHILLER ST FROM N ASTOR ST (30 E) TO N STATE PKWY (1 W)"
"15539",2018,43,50590.17,"Streets & Transportation","Street Resurfacing (2018)","ON W BELDEN AVE FROM N CLEVELAND AVE (500 W) TO N GENEVA TER (600 W)"
"15540",2018,43,38531.82,"Streets & Transportation","Street Resurfacing (2018)","ON N ASTOR ST FROM E BURTON PL (1500 N) TO E NORTH AVE (1600 N)"
"15541",2018,43,21455.41,"Streets & Transportation","Street Resurfacing (2018)","ON N GENEVA TER FROM W WEBSTER AVE (2200 N) TO W GRANT PL (2230 N)"
"15542",2018,43,32259.33,"Streets & Transportation","Street Resurfacing (2018)","ON N LINCOLN PARK W FROM N CLARK ST (2010 N) TO W DICKENS DR (2100 N)"
"15543",2018,43,16929.82,"Streets & Transportation","Street Resurfacing Menu (2018)","ON N DAYTON ST FROM 1850 N TO W WISCONSIN ST (1900 N)"
"15544",2018,43,14500,"Beautification","Viaduct Improvement Menu (2018)","E DIVISION ST & N LAKE SHORE DR"
"15545",2018,43,14500,"Beautification","Viaduct Improvement Menu (2018)","N LAKE SHORE DR & E SCOTT ST"
"15546",2018,43,14500,"Beautification","Viaduct Improvement Menu (2018)","N LAKE SHORE DR & E GOETHE ST"
"15547",2018,43,14500,"Beautification","Viaduct Improvement Menu (2018)","N LAKE SHORE DR & E BANKS ST"
"15548",2018,43,14500,"Beautification","Viaduct Improvement Menu (2018)","N LAKE SHORE DR & E SCHILLER ST"
"15549",2018,43,14500,"Beautification","Viaduct Improvement Menu (2018)","N LAKE SHORE DR & E BURTON PL"
"15550",2018,44,5446.37,"Streets & Transportation","Alley Apron (2018)","2817 N PINE GROVE AVE"
"15551",2018,44,46232.59,"Streets & Transportation","Alley Resurfacing (1-1) (2018)","W NEWPORT AVE & N RACINE AVE&W CORNELIA AVE & N SEMINARY AVE:1128 W NEWPORT AVE"
"15552",2018,44,42076.72,"Streets & Transportation","Alley Resurfacing (2018)","W MELROSE ST & N LAKEWOOD AVE&W BELMONT AVE & N RACINE AVE:1225 W MELROSE ST"
"15553",2018,44,23434.7,"Streets & Transportation","Alley Resurfacing (2018)","W DIVERSEY PKWY & N BROADWAY&W SURF ST & N CAMBRIDGE AVE"
"15554",2018,44,5400.17,"Streets & Transportation","Alley Resurfacing Menu (2018)","2817 N RACINE AVE"
"15555",2018,44,49263.82,"Streets & Transportation","Alley Resurfacing (2018)","829 W NEWPORT AVE:W NEWPORT AVE & N CLARK ST&W ROSCOE ST & N HALSTED ST"
"15556",2018,44,26054.52,"Streets & Transportation","Alley Resurfacing (2018)","N SOUTHPORT AVE & W SCHOOL ST&N LAKEWOOD AVE & W MELROSE ST"
"15557",2018,44,23369.09,"Streets & Transportation","Alley Resurfacing Menu (2018)","3500 N SHEFFIELD AVE:3462 N SHEFFIELD AVE"
"15558",2018,44,23511.12,"Streets & Transportation","Alley Resurfacing Menu (2018)","3700 N JANSSEN AVE"
"15559",2018,44,4929.6,"Streets & Transportation","Alley Resurfacing (2018)","N SOUTHPORT AVE & W SCHOOL ST&N LAKEWOOD AVE & W MELROSE ST"
"15560",2018,44,504.82,"Streets & Transportation","Alley Speed Hump Menu (2018)","622 W WELLINGTON AVE"
"15561",2018,44,8500,"Streets & Transportation","Concrete Alley (2018)","343 W WELLINGTON AVE:N SHERIDAN RD & W WELLINGTON AVE&N LAKE SHORE DR & W OAKDALE AVE"
"15562",2018,44,16023.79,"Streets & Transportation","Concrete Alley Menu (2018)","3732 N JANSSEN AVE"
"15563",2018,44,15387.7,"Streets & Transportation","Curb & Gutter (2018)","ON W WAVELAND AVE FROM 950 W TO N SHEFFIELD AVE (1000 W)"
"15564",2018,44,10969.01,"Streets & Transportation","Curb & Gutter (2017)","ON N SEMINARY AVE FROM W WAVELAND AVE (3700 N) TO W GRACE ST (3800 N)"
"15565",2018,44,18408.92,"Streets & Transportation","Curb & Gutter (2018)","ON W WAVELAND AVE FROM 1412 W TO N JANSSEN AVE (1430 W)"
"15566",2018,44,4170.39,"Streets & Transportation","Curb & Gutter Menu (2018)","3730-3732 N KENMORE AVE"
"15567",2018,44,60000,"Schools & Libraries","Hawthorne Elementary - New Playground","3319 N CLIFTON AVE"
"15568",2018,44,3555.33,"Streets & Transportation","Sidewalk Menu (2018)","3212 N LAKEWOOD AVE"
"15569",2018,44,3031.42,"Streets & Transportation","Sidewalk Menu (2018)","1119 W GRACE ST"
"15570",2018,44,24159.99,"Streets & Transportation","Sidewalk (2018)","ON W WOLFRAM ST FROM N RACINE AVE (1200 W) TO N SEMINARY AVE (1100 W)"
"15571",2018,44,3726.07,"Streets & Transportation","Sidewalk (2018)","3310 N SHEFFIELD AVE"
"15572",2018,44,57500,"Lighting","Street Light Residential Staggered Piggy Back (2018)","ON N WILTON AVE FROM W ADDISON ST (3600 N) TO W WAVELAND AVE (3700 N)"
"15573",2018,44,500,"Lighting","Street Light Upgrade Menu (2018)","2815 N RACINE AVE"
"15574",2018,44,500,"Lighting","Street Light Upgrade Menu (2018)","3518 N GREENVIEW AVE"
"15575",2018,44,1500,"Lighting","Street Light Upgrade (2018)","3354 N LAKEWOOD AVE:3334 N LAKEWOOD AVE:3346 N LAKEWOOD AVE"
"15576",2018,44,7000,"Lighting","Street Light Upgrade (2018)","SEMINARY AVE:3240 N SEMINARY AVE:3245 N SEMINARY AVE:3252 N SEMINARY AVE:3652 N GREENVIEW AVE:2823 N RACINE AVE"
"15577",2018,44,119590.82,"Streets & Transportation","Street Resurfacing (1-5) (2018)","ON N RACINE AVE FROM W DIVERSEY PKWY (2800 N) TO W BELMONT AVE (3200 N)"
"15578",2018,44,94581.81,"Streets & Transportation","Street Resurfacing (1-5) (2018)","ON N SHEFFIELD AVE FROM W WOLFRAM ST (2832 N) TO W WELLINGTON AVE (3000 N)"
"15579",2018,44,96138.85,"Streets & Transportation","Street Resurfacing (2018)","ON W MELROSE ST FROM N BROADWAY (600 W) TO N HALSTED ST (800 W)"
"15580",2018,44,164026.36,"Streets & Transportation","Street Resurfacing (2018)","ON W BUCKINGHAM PL FROM N BROADWAY (600 W) TO N CLARK ST (900 W)"
"15581",2018,44,57368.75,"Streets & Transportation","Street Resurfacing (2018)","ON W GRACE ST FROM N CLARK ST (1210 W) TO N LAKEWOOD AVE (1300 W)"
"15582",2018,44,110793.92,"Streets & Transportation","Street Resurfacing Menu (2018)","ON N SHEFFIELD AVE FROM 3546 N TO W ROSCOE ST (3399 N)"
"15583",2018,44,14843.34,"Streets & Transportation","Street Resurfacing (2019)","ON W NEWPORT AVE FROM N CLARK ST (1000 W) TO N HALSTED ST (800 W)"
"15584",2018,44,170000,"Streets & Transportation","Traffic Signal Modernization (2018)","W ROSCOE ST & N LAKE SHORE DR"
"15585",2018,44,7500,"Plants, Gardens, & Sustainability","Tree Planting in Various Locations in the Ward",""
"15586",2018,45,9844.67,"Streets & Transportation","Alley Apron (2018)","5036 N LOCKWOOD AVE"
"15587",2018,45,15058.7,"Streets & Transportation","Alley Apron Menu (2018)","5056 N LOCKWOOD AVE"
"15588",2018,45,1236.11,"Streets & Transportation","Alley Apron Menu (2019)","4900 N MARMORA AVE"
"15589",2018,45,52790.28,"Streets & Transportation","Alley Resurfacing Menu (1-1) (2018)","5028 W SUNNYSIDE AVE"
"15590",2018,45,38729.01,"Streets & Transportation","Alley Resurfacing (2018)","W IRVING PARK RD & N LAPORTE AVE&W CUYLER AVE & N MILWAUKEE AVE"
"15591",2018,45,1400,"Streets & Transportation","Alley Speed Hump (2018)","N CENTRAL AVE & W LELAND AVE&N LINDER AVE & W WILSON AVE"
"15592",2018,45,450.08,"Streets & Transportation","Alley Speed Hump (2019)","W IRVING PARK RD & N AVERS AVE&N SPRINGFIELD AVE & W BELLE PLAINE AVE"
"15593",2018,45,0,"Streets & Transportation","Alley Speed Hump Replacement (2018)","5028 W SUNNYSIDE AVE"
"15594",2018,45,1274.35,"Streets & Transportation","Bollard Menu (2018)","4930 N MANGO AVE"
"15595",2018,45,682.91,"Streets & Transportation","Bollard Menu (2018)","5417 W CARMEN AVE"
"15596",2018,45,800,"Streets & Transportation","Bollard Menu (2019)","5100 N CENTRAL AVE"
"15597",2018,45,15000,"Parks & Recreation","Gladstone Park Community Garden","5421 N MENARD AVE"
"15598",2018,45,5347.19,"Streets & Transportation","Curb & Gutter Menu (2018)","5844-5846 W GIDDINGS ST"
"15599",2018,45,4991.54,"Streets & Transportation","Curb & Gutter Menu (2018)","4828 W GUNNISON ST"
"15600",2018,45,4363.18,"Streets & Transportation","Curb & Gutter Menu (2018)","4921-4923 N MCVICKER AVE"
"15601",2018,45,2759.91,"Streets & Transportation","Curb & Gutter Menu (2018)","5854 W LELAND AVE"
"15602",2018,45,3181.07,"Streets & Transportation","Curb & Gutter Menu (2018)","4806 N MENARD AVE"
"15603",2018,45,10183.44,"Streets & Transportation","Curb & Gutter Menu (2018)","5705-5713 W CATALPA AVE"
"15604",2018,45,2871.08,"Streets & Transportation","Curb & Gutter Menu (2018)","5837 N MULLIGAN AVE"
"15605",2018,45,3402.06,"Streets & Transportation","Curb & Gutter Menu (2018)","5527 N MENARD AVE"
"15606",2018,45,1251.57,"Streets & Transportation","Curb & Gutter Menu (2018)","5340 N MELVINA AVE"
"15607",2018,45,3327.03,"Streets & Transportation","Curb & Gutter Menu (2018)","5104 W HUTCHINSON ST"
"15608",2018,45,8160.68,"Streets & Transportation","Curb & Gutter Menu (2018)","4901 W IRVING PARK RD"
"15609",2018,45,8332.33,"Streets & Transportation","Curb & Gutter Menu (2018)","4957 N RUTHERFORD AVE"
"15610",2018,45,2761.33,"Streets & Transportation","Curb & Gutter Menu (2018)","4984 N MAJOR AVE"
"15611",2018,45,819.59,"Streets & Transportation","Curb & Gutter Menu (2018)","5016 W STRONG ST"
"15612",2018,45,7887.69,"Streets & Transportation","Curb & Gutter Menu (2018)","5156 N NASHVILLE AVE"
"15613",2018,45,7735.86,"Streets & Transportation","Curb & Gutter Menu (2018)","5349 W CARMEN AVE"
"15614",2018,45,13592.96,"Streets & Transportation","Curb & Gutter Menu (2018)","5357 W LELAND AVE"
"15615",2018,45,1956.38,"Streets & Transportation","Curb & Gutter (2018)","5427 N LOVEJOY AVE"
"15616",2018,45,2348.61,"Streets & Transportation","Curb & Gutter Menu (2018)","4921-4923 N MCVICKER AVE"
"15617",2018,45,2974.2,"Streets & Transportation","Curb & Gutter Menu (2018)","4828 W STRONG ST"
"15618",2018,45,16032.35,"Streets & Transportation","Curb & Gutter Menu (2018)","3801-3805 W BELLE PLAINE AVE"
"15619",2018,45,8419.62,"Streets & Transportation","Curb & Gutter Menu (2018)","4903-4909 N MERRIMAC AVE"
"15620",2018,45,2832.12,"Streets & Transportation","Curb & Gutter Menu (2018)","4831 N MEADE AVE"
"15621",2018,45,5000,"Beautification","Forest Glen viaduct lettering - partnership project w/ 39th Ward","N ELSTON AVE & N FOREST GLEN AVE"
"15622",2018,45,15909.13,"Beautification","Public Art Installation - 50x50 Year of Public Art","N CENTRAL AVE & N MILWAUKEE AVE"
"15623",2018,45,34355,"Streets & Transportation","Pavement Markings (2018)","ON W FOSTER AVE FROM N ELSTON AVE (4940 W) TO N LOVEJOY AVE (5499 W)"
"15624",2018,45,4300,"Streets & Transportation","Pavement Markings Menu (2018)","W FOSTER AVE & N NATOMA AVE"
"15625",2018,45,7500,"Streets & Transportation","Pavement Markings (2018)","ON NGLE AVE FROM W FOSTER AVE (5200 N) TO W GUNNISON ST (4800 N)"
"15626",2018,45,44671.12,"Streets & Transportation","Pedestrian Refuge Island (2018)","ON N CICERO AVE FROM W BELLE PLAINE AVE (4110 N) TO W PENSACOLA AVE (4330 N)"
"15627",2018,45,3693.35,"Streets & Transportation","Sidewalk Menu (2018)","4904 N AUSTIN AVE"
"15628",2018,45,6445.73,"Streets & Transportation","Sidewalk Menu (2018)","5435 N MOODY AVE"
"15629",2018,45,4890.23,"Streets & Transportation","Sidewalk Menu (2018)","5512 N NATOMA AVE"
"15630",2018,45,10545.31,"Streets & Transportation","Sidewalk Menu (2018)","5622-5626 N CENTRAL AVE"
"15631",2018,45,4747.7,"Streets & Transportation","Sidewalk Menu (2018)","5550-5552 N CENTRAL AVE"
"15632",2018,45,7675.4,"Streets & Transportation","Sidewalk Menu (2018)","5511 W FARRAGUT AVE"
"15633",2018,45,5799.06,"Streets & Transportation","Sidewalk Menu (2018)","5016 W STRONG ST"
"15634",2018,45,17416.79,"Streets & Transportation","Sidewalk Menu (2018)","W LELAND AVE & N LARAMIE AVE"
"15635",2018,45,20198.88,"Streets & Transportation","Sidewalk Menu (2018)","N LARAMIE AVE & W GIDDINGS ST"
"15636",2018,45,10808.73,"Streets & Transportation","Sidewalk Menu (2018)","5319 W GIDDINGS ST"
"15637",2018,45,12169.53,"Streets & Transportation","Sidewalk Menu (2018)","4016-4026 N MONTICELLO AVE"
"15638",2018,45,11007.87,"Streets & Transportation","Sidewalk Menu (2018)","4858 N NASHVILLE AVE"
"15639",2018,45,6951.43,"Streets & Transportation","Sidewalk Menu (2018)","N AUSTIN AVE & W STRONG ST"
"15640",2018,45,31600.39,"Streets & Transportation","Sidewalk Menu (2018)","6201-6209 W PETERSON AVE"
"15641",2018,45,13911.33,"Streets & Transportation","Sidewalk Menu (2018)","4137-4141 N LARAMIE AVE"
"15642",2018,45,7849.43,"Streets & Transportation","Sidewalk (2018)","4844 N MELVINA AVE"
"15643",2018,45,3682.26,"Streets & Transportation","Sidewalk Menu (2018)","5505 N AUSTIN AVE"
"15644",2018,45,1832.96,"Streets & Transportation","Sidewalk Menu (2018)","5650 N MENARD AVE"
"15645",2018,45,12417.59,"Streets & Transportation","Sidewalk (2018)","ON N MENARD AVE FROM N MANILA AVE (5400 N) TO N MAGNET AVE (5500 N)"
"15646",2018,45,15376.94,"Streets & Transportation","Sidewalk (2019)","N MILWAUKEE AVE & W WAVELAND AVE:3601 N MILWAUKEE AVE"
"15647",2018,45,35086.36,"Streets & Transportation","Street Bump Outs Menu (2018)","N MILWAUKEE AVE & W WARNER AVE"
"15648",2018,45,500,"Lighting","Street Light Upgrade Menu (2018)","5805 N MARMORA AVE"
"15649",2018,45,61056.13,"Streets & Transportation","Street Resurfacing (1-5) (2018)","ON N AVONDALE AVE FROM N KEDVALE AVE (3950 N) TO N PULASKI RD (3850 N)"
